"aucSeCode","aucSeNm","catgoryCode","catgoryNewCode","catgoryNewNm","catgoryNm","cprInsttCode","cprInsttNewCode","cprMtcCode","cprMtcNm","cprUsePrdlstCode","cprUsePrdlstNm","delngDe","delngPrut","delngQy","insttNewNm","insttNm","ledgNo","rnum","sbidPric","sbidTime","shipmntSeCode","shipmntSeNm","sleSeqn","stdFrmlcNewCode","stdFrmlcNewNm","stdMgNewCode","stdMgNewNm","stdMtcNewCode","stdMtcNewNm","stdPrdlstCode","stdPrdlstNewCode","stdPrdlstNewNm","stdPrdlstNm","stdQlityNewCode","stdQlityNewNm","stdSpciesCode","stdSpciesNewCode","stdSpciesNewNm","stdSpciesNm","stdUnitNewCode","stdUnitNewNm","whsalMrktCode","whsalMrktNewCode","whsalMrktNewNm","whsalMrktNm","numOfRows","pageNo","totalCount"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","730000","경북 구미시 ","30101","배추","12/2/2015","15","40","대구중앙청과","대구중앙청과","20953","1","1500","2015-12-01 15:05:00","2","계통","01","101","상자","1ZZ","기타","39300","경상북도 구미시","1001","1001","배추","배추","11","특","100199","100199","기타","기타","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","730000","경북 구미시 ","30101","배추","12/2/2015","15","40","대구중앙청과","대구중앙청과","20953","2","1500","2015-12-01 15:05:05","2","계통","02","101","상자","1ZZ","기타","39300","경상북도 구미시","1001","1001","배추","배추","11","특","100199","100199","기타","기타","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","730000","경북 구미시 ","30101","배추","12/2/2015","15","56","대구중앙청과","대구중앙청과","20953","3","1500","2015-12-01 15:05:07","2","계통","03","101","상자","1ZZ","기타","39300","경상북도 구미시","1001","1001","배추","배추","11","특","100199","100199","기타","기타","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","757000","경북 예천군 ","30101","배추","12/2/2015","15","21","대구중앙청과","대구중앙청과","20956","4","1000","2015-12-01 15:05:57","2","계통","01","101","상자","1ZZ","기타","36800","경상북도 예천군","1001","1001","배추","배추","11","특","100199","100199","기타","기타","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","757000","경북 예천군 ","30101","배추","12/2/2015","15","4","대구중앙청과","대구중앙청과","20956","5","1000","2015-12-01 15:06:02","2","계통","02","101","상자","1ZZ","기타","36800","경상북도 예천군","1001","1001","배추","배추","11","특","100199","100199","기타","기타","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","770000","경북 영천시 ","30101","배추","12/2/2015","15","11","대구중앙청과","대구중앙청과","20959","6","1000","2015-12-01 15:06:54","2","계통","01","101","상자","1ZZ","기타","38900","경상북도 영천시","1001","1001","배추","배추","11","특","100199","100199","기타","기타","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","678000","경남 합천군 ","30104","배추","12/2/2015","2","18","대구중앙청과","대구중앙청과","21008","7","17800","2015-12-01 15:13:36","1","협동","01","101","상자","1ZZ","기타","50200","경상남도 합천군","1001","1001","배추","배추","11","특","100108","100108","쌈(알배기)배추","쌈배추","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"1","경매","10","10","엽경채류","엽경채류","22000101","6041414","903000","대구광역시  ","30104","배추","12/2/2015","4","1","대구중앙청과","대구중앙청과","21029","8","4000","2015-12-01 15:16:21","2","계통","01","101","상자","1ZZ","기타","90300","대구광역시","1001","1001","배추","배추","12","상","100108","100108","쌈(알배기)배추","쌈배추","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"3","자기계산","10","10","엽경채류","엽경채류","22000101","6041414","719000","경북 성주군 ","30104","배추","12/2/2015","2","30","대구중앙청과","대구중앙청과","21046","9","12600","2015-12-02 15:26:16","2","계통","01","101","상자","1ZZ","기타","40000","경상북도 성주군","1001","1001","배추","배추","11","특","100108","100108","쌈(알배기)배추","쌈배추","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
"3","자기계산","10","10","엽경채류","엽경채류","22000101","6041414","719000","경북 성주군 ","30104","배추","12/2/2015","2","28","대구중앙청과","대구중앙청과","21046","10","12600","2015-12-02 15:26:16","2","계통","02","101","상자","1ZZ","기타","40000","경상북도 성주군","1001","1001","배추","배추","11","특","100108","100108","쌈(알배기)배추","쌈배추","12","kg","220001","1041401","대구북부도매시장","대구북부도매시장","10","1","287"
