"aucSeCode","catgoryCode","catgoryNewCode","catgoryNewNm","catgoryNm","cprInsttCode","cprInsttNewCode","cprMtcCode","cprMtcNm","cprUsePrdlstCode","cprUsePrdlstNm","delngDe","delngPrut","delngQy","insttNewNm","insttNm","ledgNo","rnum","sbidPric","sbidTime","shipmntSeCode","shipmntSeNm","sleSeqn","stdFrmlcNewCode","stdFrmlcNewNm","stdMgNewCode","stdMgNewNm","stdPrdlstCode","stdPrdlstNewCode","stdPrdlstNewNm","stdPrdlstNm","stdQlityNewCode","stdQlityNewNm","stdSpciesCode","stdSpciesNewCode","stdSpciesNewNm","stdSpciesNm","stdUnitNewCode","stdUnitNewNm","whsalMrktCode","whsalMrktNewCode","whsalMrktNewNm","whsalMrktNm","numOfRows","pageNo","totalCount"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000710402","(선)은갈치","12/2/2015","8","61","부산감천항수산(주)","부산감천항수산(주)","71","2","77500","12/2/2015 15:19","3","개별","10","701","상자","7ZZ","기타","7104","6103","갈치류","갈치","72","자연산","710402","610302","은갈치(신선/냉장)(미가공)","은갈치","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000710402","(선)은갈치","12/2/2015","10","41","부산감천항수산(주)","부산감천항수산(주)","71","3","77500","2015-12-02 15:19:43","3","개별","11","701","상자","7ZZ","기타","7104","6103","갈치류","갈치","72","자연산","710402","610302","은갈치(신선/냉장)(미가공)","은갈치","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000710402","(선)은갈치","12/2/2015","8","37","부산감천항수산(주)","부산감천항수산(주)","71","7","77500","2015-12-02 15:19:43","3","개별","15","701","상자","7ZZ","기타","7104","6103","갈치류","갈치","72","자연산","710402","610302","은갈치(신선/냉장)(미가공)","은갈치","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000710402","(선)은갈치","12/2/2015","10","94","부산감천항수산(주)","부산감천항수산(주)","71","6","77500","2015-12-02 15:19:43","3","개별","14","701","상자","7ZZ","기타","7104","6103","갈치류","갈치","72","자연산","710402","610302","은갈치(신선/냉장)(미가공)","은갈치","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000712759","(선)황돔","12/2/2015","10","27","부산감천항수산(주)","부산감천항수산(주)","71","8","32000","2015-12-02 15:19:43","3","개별","16","701","상자","7ZZ","기타","7127","6137","돔류","돔","72","자연산","712759","613714","황돔(신선/냉장)(미가공)","황돔","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000712759","(선)황돔","12/2/2015","5","1","부산감천항수산(주)","부산감천항수산(주)","71","9","32000","2015-12-02 15:19:43","3","개별","17","701","상자","7ZZ","기타","7127","6137","돔류","돔","72","자연산","712759","613714","황돔(신선/냉장)(미가공)","황돔","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000713201","(선)명태","12/2/2015","10","350","부산감천항수산(주)","부산감천항수산(주)","71","1","38715","2015-12-02 15:19:43","3","개별","1","701","상자","7ZZ","기타","7132","6145","명태류","명태","72","자연산","713201","614501","명태(신선/냉장)(미가공)","명태","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000713201","(선)명태","12/2/2015","10","300","부산감천항수산(주)","부산감천항수산(주)","71","5","38715","2015-12-02 15:19:43","3","개별","13","701","상자","7ZZ","기타","7132","6145","명태류","명태","72","자연산","713201","614501","명태(신선/냉장)(미가공)","명태","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000713201","(선)명태","12/2/2015","10","50","부산감천항수산(주)","부산감천항수산(주)","71","10","38715","2015-12-02 15:19:43","3","개별","18","701","상자","7ZZ","기타","7132","6145","명태류","명태","72","자연산","713201","614501","명태(신선/냉장)(미가공)","명태","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
"5","71","61","해면어류","신선 해면어류","21000501","6049203","800JPN","일본  ","0000713902","(선)병어","12/2/2015","10","30","부산감천항수산(주)","부산감천항수산(주)","71","4","32000","2015-12-02 15:19:43","3","개별","12","701","상자","7ZZ","기타","7139","6160","병어류","병어","72","자연산","713902","616001","병어(신선/냉장)(미가공)","병어","72","kg","210005","1049201","부산국제수산물도매시장","부산국제수산물도매시장","10","1","33"
